Date ,Open,High,Low,Close,Change (Pips) ,Change (%) 
"Dec 03, 2020 12:00",0.74221,0.7431,0.74178,0.74296,7.5,+0.10%
"Dec 03, 2020 11:00",0.74185,0.74278,0.74143,0.74219,3.4,+0.05%
"Dec 03, 2020 10:00",0.74199,0.74216,0.74136,0.74186,-1.3,-0.02%
"Dec 03, 2020 09:00",0.74288,0.74304,0.7409,0.74199,-8.9,-0.12%
"Dec 03, 2020 08:00",0.74328,0.74366,0.74236,0.74289,-3.9,-0.05%
"Dec 03, 2020 07:00",0.74179,0.74338,0.74174,0.74329,15,+0.20%
"Dec 03, 2020 06:00",0.74112,0.74183,0.74101,0.74178,6.6,+0.09%
"Dec 03, 2020 05:00",0.74088,0.74131,0.74062,0.7411,2.2,+0.03%
"Dec 03, 2020 04:00",0.74098,0.74098,0.74024,0.74088,-1,-0.01%
"Dec 03, 2020 03:00",0.74115,0.74172,0.74095,0.74098,-1.7,-0.02%
"Dec 03, 2020 02:00",0.7401,0.7416,0.7399,0.74115,10.5,+0.14%
"Dec 03, 2020 01:00",0.73991,0.74051,0.73981,0.74012,2.1,+0.03%
"Dec 03, 2020 00:00",0.74146,0.74147,0.73989,0.7399,-15.6,-0.21%
"Dec 02, 2020 23:00",0.74133,0.74187,0.74129,0.74148,1.5,+0.02%
"Dec 02, 2020 22:00",0.74165,0.74191,0.74107,0.74134,-3.1,-0.04%
"Dec 02, 2020 21:00",0.74055,0.742,0.74055,0.7416,10.5,+0.14%
"Dec 02, 2020 20:00",0.74014,0.74096,0.74003,0.74049,3.5,+0.05%
"Dec 02, 2020 19:00",0.73968,0.74066,0.73916,0.74019,5.1,+0.07%
"Dec 02, 2020 18:00",0.73966,0.74005,0.73941,0.73967,0.1,+0.00%
"Dec 02, 2020 17:00",0.7394,0.74014,0.73924,0.73964,2.4,+0.03%
"Dec 02, 2020 16:00",0.73799,0.7397,0.73788,0.7394,14.1,+0.19%
"Dec 02, 2020 15:00",0.73651,0.73837,0.73649,0.73796,14.5,+0.20%
"Dec 02, 2020 14:00",0.73569,0.73656,0.73518,0.73654,8.5,+0.12%
"Dec 02, 2020 13:00",0.73564,0.73692,0.7356,0.73567,0.3,+0.00%
"Dec 02, 2020 12:00",0.73684,0.73697,0.73513,0.73567,-11.7,-0.16%
"Dec 02, 2020 11:00",0.73774,0.73846,0.73672,0.73687,-8.7,-0.12%
"Dec 02, 2020 10:00",0.73814,0.73823,0.73725,0.7377,-4.4,-0.06%
"Dec 02, 2020 09:00",0.73748,0.73884,0.73741,0.73814,6.6,+0.09%
"Dec 02, 2020 08:00",0.73824,0.73868,0.73692,0.73752,-7.2,-0.10%
"Dec 02, 2020 07:00",0.7371,0.73929,0.73686,0.7382,11,+0.15%
"Dec 02, 2020 06:00",0.737,0.73767,0.73669,0.73715,1.5,+0.02%
"Dec 02, 2020 05:00",0.73742,0.7376,0.7364,0.73698,-4.4,-0.06%
"Dec 02, 2020 04:00",0.73828,0.7384,0.73739,0.73744,-8.4,-0.11%
"Dec 02, 2020 03:00",0.73742,0.73837,0.73725,0.73826,8.4,+0.11%
"Dec 02, 2020 02:00",0.73702,0.73815,0.73689,0.73739,3.7,+0.05%
"Dec 02, 2020 01:00",0.73854,0.73854,0.73665,0.73703,-15.1,-0.20%
"Dec 02, 2020 00:00",0.73806,0.73898,0.7372,0.73857,5.1,+0.07%
"Dec 01, 2020 23:00",0.73733,0.73838,0.73728,0.73806,7.3,+0.10%
"Dec 01, 2020 22:00",0.7372,0.73767,0.73631,0.73725,0.5,+0.01%
"Dec 01, 2020 21:00",0.73689,0.73726,0.73677,0.73722,3.3,+0.04%
"Dec 01, 2020 20:00",0.73643,0.73713,0.73602,0.73693,5,+0.07%
"Dec 01, 2020 19:00",0.73666,0.73695,0.73626,0.73642,-2.4,-0.03%
"Dec 01, 2020 18:00",0.73634,0.73672,0.7362,0.73664,3,+0.04%
"Dec 01, 2020 17:00",0.73545,0.73654,0.73537,0.73638,9.3,+0.13%
"Dec 01, 2020 16:00",0.7355,0.73686,0.73531,0.73543,-0.7,-0.01%
"Dec 01, 2020 15:00",0.7353,0.73617,0.73464,0.73554,2.4,+0.03%
"Dec 01, 2020 14:00",0.73601,0.73609,0.73414,0.73522,-7.9,-0.11%
"Dec 01, 2020 13:00",0.73523,0.73615,0.73502,0.73601,7.8,+0.11%
"Dec 01, 2020 12:00",0.73516,0.73541,0.73482,0.73526,1,+0.01%
"Dec 01, 2020 11:00",0.73449,0.7354,0.73429,0.73512,6.3,+0.09%
"Dec 01, 2020 10:00",0.73527,0.73543,0.73438,0.73449,-7.8,-0.11%
"Dec 01, 2020 09:00",0.73639,0.73657,0.735,0.73532,-10.7,-0.15%
"Dec 01, 2020 08:00",0.73633,0.73731,0.73575,0.73633,0,+0.00%
"Dec 01, 2020 07:00",0.73616,0.73686,0.73603,0.73636,2,+0.03%
"Dec 01, 2020 06:00",0.73678,0.73693,0.73618,0.73618,-6,-0.08%
"Dec 01, 2020 05:00",0.73683,0.73694,0.7364,0.73679,-0.4,-0.01%
"Dec 01, 2020 04:00",0.7365,0.73714,0.73643,0.73681,3.1,+0.04%
"Dec 01, 2020 03:00",0.73601,0.73682,0.73588,0.73647,4.6,+0.06%
"Dec 01, 2020 02:00",0.73568,0.73635,0.73526,0.73605,3.7,+0.05%
"Dec 01, 2020 01:00",0.7361,0.73628,0.73524,0.73566,-4.4,-0.06%
"Dec 01, 2020 00:00",0.73589,0.73625,0.73524,0.7361,2.1,+0.03%
"Nov 30, 2020 23:00",0.73445,0.73613,0.73443,0.73587,14.2,+0.19%
"Nov 30, 2020 22:00",0.73399,0.73506,0.73396,0.73445,4.6,+0.06%
"Nov 30, 2020 21:00",0.7339,0.73446,0.7339,0.73439,4.9,+0.07%
"Nov 30, 2020 20:00",0.7354,0.73542,0.73392,0.73392,-14.8,-0.20%
"Nov 30, 2020 19:00",0.73537,0.73548,0.73484,0.73542,0.5,+0.01%
"Nov 30, 2020 18:00",0.73569,0.73584,0.73525,0.73537,-3.2,-0.04%
"Nov 30, 2020 17:00",0.73512,0.73583,0.73509,0.7357,5.8,+0.08%
"Nov 30, 2020 16:00",0.7368,0.73727,0.73473,0.7351,-17,-0.23%
"Nov 30, 2020 15:00",0.73767,0.73821,0.73573,0.73678,-8.9,-0.12%
"Nov 30, 2020 14:00",0.73812,0.73854,0.73684,0.7377,-4.2,-0.06%
"Nov 30, 2020 13:00",0.73745,0.73825,0.73722,0.7381,6.5,+0.09%
"Nov 30, 2020 12:00",0.73808,0.73861,0.73731,0.73748,-6,-0.08%
"Nov 30, 2020 11:00",0.73834,0.73868,0.73793,0.73805,-2.9,-0.04%
"Nov 30, 2020 10:00",0.73858,0.7387,0.73801,0.73835,-2.3,-0.03%
"Nov 30, 2020 09:00",0.73746,0.73882,0.73697,0.73858,11.2,+0.15%
"Nov 30, 2020 08:00",0.73864,0.73864,0.7374,0.73741,-12.3,-0.17%
"Nov 30, 2020 07:00",0.73804,0.73865,0.73751,0.73863,5.9,+0.08%
"Nov 30, 2020 06:00",0.73897,0.73916,0.73795,0.73808,-8.9,-0.12%
"Nov 30, 2020 05:00",0.73904,0.73919,0.73853,0.73896,-0.8,-0.01%
"Nov 30, 2020 04:00",0.73876,0.73948,0.73835,0.73905,2.9,+0.04%
"Nov 30, 2020 03:00",0.73905,0.73934,0.73848,0.73871,-3.4,-0.05%
"Nov 30, 2020 02:00",0.74031,0.74033,0.73888,0.73908,-12.3,-0.17%
"Nov 30, 2020 01:00",0.74023,0.74074,0.73966,0.7403,0.7,+0.01%
"Nov 30, 2020 00:00",0.74013,0.74045,0.73939,0.74024,1.1,+0.01%
"Nov 29, 2020 23:00",0.73872,0.74041,0.73866,0.74004,13.2,+0.18%
"Nov 29, 2020 22:00",0.73829,0.73902,0.73829,0.73872,4.3,+0.06%
"Nov 27, 2020 21:00",0.7383,0.73925,0.73753,0.73788,-4.2,-0.06%
"Nov 27, 2020 20:00",0.73885,0.73913,0.73829,0.73829,-5.6,-0.08%
"Nov 27, 2020 19:00",0.7385,0.73913,0.73845,0.73883,3.3,+0.04%
"Nov 27, 2020 18:00",0.73913,0.73914,0.73824,0.73853,-6,-0.08%
"Nov 27, 2020 17:00",0.73855,0.73916,0.73835,0.73914,5.9,+0.08%
"Nov 27, 2020 16:00",0.73954,0.73987,0.73834,0.73851,-10.3,-0.14%
"Nov 27, 2020 15:00",0.73903,0.73986,0.73882,0.73955,5.2,+0.07%
"Nov 27, 2020 14:00",0.73792,0.73927,0.73791,0.73906,11.4,+0.15%
"Nov 27, 2020 13:00",0.73725,0.73829,0.73667,0.7379,6.5,+0.09%
"Nov 27, 2020 12:00",0.73713,0.73752,0.73636,0.73724,1.1,+0.01%
"Nov 27, 2020 11:00",0.73702,0.73763,0.73681,0.73712,1,+0.01%
